,first_category,second_category,third_category,brand,price,counts,sales,days
116,服饰内衣,内衣,文胸,芬腾,69.0,50,3450.0,50
117,服饰内衣,内衣,文胸,芬腾,79.0,50,3950.0,50
118,服饰内衣,内衣,文胸,芬腾,89.0,50,4450.0,50
119,服饰内衣,内衣,文胸,芬腾,89.9,17,1528.3000000000002,17
120,服饰内衣,内衣,文胸,芬腾,139.0,9,1251.0,9
121,服饰内衣,内衣,文胸,莫代尔,65.8,200,13160.0,200
122,服饰内衣,内衣,文胸,莫代尔,55.8,100,5580.0,100
123,服饰内衣,内衣,文胸,莫代尔,39.9,50,1995.0,50
124,服饰内衣,内衣,文胸,莫代尔,45.8,50,2290.0,50
125,服饰内衣,内衣,文胸,莫代尔,49.9,50,2495.0,50
126,服饰内衣,内衣,文胸,莫代尔,75.8,50,3790.0,50
127,服饰内衣,内衣,文胸,莫代尔,105.8,50,5290.0,50
128,服饰内衣,内衣,文胸,莫代尔,116.9,46,5377.400000000001,46
129,服饰内衣,内衣,文胸,莫代尔,99.0,39,3861.0,39
130,服饰内衣,内衣,文胸,莫代尔,125.8,17,2138.6,17
131,服饰内衣,内衣,文胸,莫代尔,145.8,14,2041.2000000000003,14
132,服饰内衣,内衣,文胸,蕉下（beneunder）,169.0,12,2028.0,6
133,服饰内衣,内衣,文胸,蕉下（beneunder）,139.0,10,1390.0,10
134,服饰内衣,内衣,文胸,蕉内（Bananain）,119.0,63,7497.0,63
135,服饰内衣,内衣,文胸,蕉内（Bananain）,169.0,50,8450.0,50
136,服饰内衣,内衣,文胸,蜜沁馨,49.0,50,2450.0,50
137,服饰内衣,内衣,文胸,都市丽人,109.0,150,16350.0,148
138,服饰内衣,内衣,文胸,都市丽人,99.0,100,9900.0,99
139,服饰内衣,内衣,文胸,都市丽人,129.0,58,7482.0,58
140,服饰内衣,内衣,文胸,都市丽人,89.0,50,4450.0,50
141,服饰内衣,内衣,文胸,都市丽人,104.9,50,5245.0,49
142,服饰内衣,内衣,文胸,都市丽人,124.9,50,6245.0,50
143,服饰内衣,内衣,文胸,都市丽人,114.9,15,1723.5,15
144,服饰内衣,内衣,文胸,雅姿花（YAZIHUA）,99.0,50,4950.0,50
145,服饰内衣,内衣,文胸,雅珠倩（yazhuqian）,108.0,50,5400.0,50
146,服饰内衣,内衣,文胸,雅黛俪（ALDOLA）,89.0,6,534.0,6
147,服饰内衣,内衣,文胸套装,欧迪芬（Ordifen）,205.0,50,10250.0,50
148,服饰内衣,内衣,文胸套装,都市丽人,124.9,100,12490.0,100
149,服饰内衣,内衣,文胸套装,都市丽人,134.9,50,6745.0,50
150,服饰内衣,内衣,文胸套装,都市丽人,199.0,3,597.0,3
151,服饰内衣,内衣,秋衣秋裤,秋衣,45.0,64,2880.0,64
152,服饰内衣,内衣,秋衣秋裤,秋衣,49.0,43,2107.0,43
153,服饰内衣,内衣,秋衣秋裤,秋衣,125.0,1,125.0,1
154,服饰内衣,内衣,秋衣秋裤,秋衣秋裤套装,49.9,150,7485.0,146
155,服饰内衣,内衣,秋衣秋裤,秋衣秋裤套装,89.8,150,13470.0,101
156,服饰内衣,内衣,秋衣秋裤,秋衣秋裤套装,129.0,138,17802.0,94
157,服饰内衣,内衣,秋衣秋裤,秋衣秋裤套装,49.8,100,4980.0,50
158,服饰内衣,内衣,秋衣秋裤,秋衣秋裤套装,59.8,100,5980.0,50
159,服饰内衣,内衣,秋衣秋裤,秋衣秋裤套装,79.0,100,7900.0,96
160,服饰内衣,内衣,秋衣秋裤,秋衣秋裤套装,89.0,100,8900.0,100
161,服饰内衣,内衣,秋衣秋裤,秋衣秋裤套装,99.9,100,9990.0,50
162,服饰内衣,内衣,秋衣秋裤,秋衣秋裤套装,49.0,50,2450.0,50
163,服饰内衣,内衣,秋衣秋裤,秋衣秋裤套装,69.0,50,3450.0,50
164,服饰内衣,内衣,秋衣秋裤,秋衣秋裤套装,69.8,50,3490.0,50
165,服饰内衣,内衣,秋衣秋裤,秋衣秋裤套装,85.0,50,4250.0,50
166,服饰内衣,内衣,秋衣秋裤,秋衣秋裤套装,98.0,50,4900.0,50
167,服饰内衣,内衣,秋衣秋裤,秋衣秋裤套装,99.0,50,4950.0,50
168,服饰内衣,内衣,秋衣秋裤,秋衣秋裤套装,109.0,50,5450.0,50
169,服饰内衣,内衣,秋衣秋裤,秋衣秋裤套装,139.0,50,6950.0,50
170,服饰内衣,内衣,秋衣秋裤,秋衣秋裤套装,158.0,50,7900.0,50
171,服饰内衣,内衣,秋衣秋裤,秋衣秋裤套装,107.8,4,431.2,4
172,服饰内衣,女装,T恤,俞兆林（YUZHAOLIN）,84.15,50,4207.5,50
173,服饰内衣,女装,T恤,咕嘟咪（Gudumi）,36.0,1,36.0,1
174,服饰内衣,女装,T恤,妃丽慕尚（FEILIMUSHANG）,39.0,50,1950.0,50
175,服饰内衣,女装,T恤,富贵鸟（FUGUINIAO）,208.0,46,9568.0,46
176,服饰内衣,女装,T恤,携尔曼（XIEERMAN）,59.4,11,653.4,11
177,服饰内衣,女装,T恤,朵伶诗儿,56.9,12,682.8,12
178,服饰内衣,女装,T恤,欧妤（OUYU）,69.0,28,1932.0,24
179,服饰内衣,女装,T恤,真维斯（JEANSWEST）,69.0,4,276.0,4
180,服饰内衣,女装,T恤,红蜻蜓（RED DRAGONFLY）,68.6,50,3429.9999999999995,50
181,服饰内衣,女装,T恤,纯信,49.9,50,2495.0,50
